alpha,chi,q,initial,final,status,omega_res_M,separation_M,tidal_strength,r_99_over_b,landau_zener_z,depletion_probability,numerical_error,systematic_error,message,hydrogenic_kernel_M_real,hydrogenic_kernel_M_imag,hydrogenic_kernel_M_abs,semirelativistic_kernel_M_real,semirelativistic_kernel_M_imag,semirelativistic_kernel_M_abs,covariant_kernel_M_real,covariant_kernel_M_imag,covariant_kernel_M_abs,eta_M_real,eta_M_imag,eta_M_abs
0.3,0.8771530275949279,0.0001,21+1,21-1,tidal_expansion_invalid,0.00011035736403025576,434.65725213912816,1.2177530042702117e-12,0.27166341662237364,0.007068312959258072,0.043439767327603754,1.7291373267626905e-09,53.52729765246338,covariant adiabatic IRG tide; global binary effects excluded,333.33333333333184,-0.0,333.33333333333184,-4.09967941449349,-239.08036068155238,239.11550814391524,2.51568168715455,-237.88579917445037,237.89910067761505,3.063478932320008e-12,-2.8968614661790717e-10,2.8970234456334727e-10
0.3,0.5480790804374224,0.0001,32+2,32+0,ok,2.2752931222724815e-06,5780.821681186661,5.176441148145643e-16,0.040603587556780917,0.01858310459677298,0.11020225043840987,5.179563044007655e-10,165.7437763512166,covariant adiabatic IRG tide; global binary effects excluded,816.4965809277214,-0.0,816.4965809277214,2.4470378029187026e-05,736.4755049049036,736.4755049049039,-0.8468869179066418,736.6385191877918,736.6390060054072,-4.3838602896781814e-16,3.813165942032759e-13,3.813168462015495e-13
0.3,0.5480790804374224,0.0001,32+2,30+0,tidal_expansion_invalid,6.151440915205808e-05,641.7460995890513,3.7836441689099164e-13,0.37443875209941097,0.18798068877100282,0.6930644541226654,1.219989506069294e-08,304.2833076184337,covariant adiabatic IRG tide; global binary effects excluded,-1443.3756729740544,0.0,1443.3756729740544,228.4189583785556,1398.2340769614411,1416.7687724265234,161.72624669048463,1342.6652340276437,1352.3702560819277,6.119145702501388e-11,5.080167483526762e-10,5.116887833631596e-10
0.3,,,43+3,43+1,mode_not_converged,,,,,,,,,CF saturation branch failed for 43+3: residual=1.072e-03,,,,,,,,,,,,
0.3,,,43+3,41+1,mode_not_converged,,,,,,,,,CF saturation branch failed for 43+3: residual=1.072e-03,,,,,,,,,,,,
0.32499999999999996,0.9083063391388978,0.0001,21+1,21-1,tidal_expansion_invalid,0.00020623476858883105,286.48807764812216,4.252852692219648e-12,0.3456769885121637,0.004544175681475826,0.028148144208893323,2.1320909136308844e-09,42.96772761291583,covariant adiabatic IRG tide; global binary effects excluded,262.1756941283555,-0.0,262.1756941283555,-7.183772662409342,-173.14518687940227,173.29414972574324,0.38437735447439003,-171.87048063449708,171.87091045166332,1.6347002668046754e-12,-7.309398362795058e-10,7.309416642285983e-10
0.32499999999999996,0.584994669680646,0.0001,32+2,32+0,ok,4.030920999986698e-06,3948.3134015447226,1.6246699438189944e-15,0.05036032813011812,0.01340167623353204,0.08075740581710948,4.403376576394419e-10,142.1741553074692,covariant adiabatic IRG tide; global binary effects excluded,642.1966735744677,-0.0,642.1966735744677,6.134125200215486e-05,568.5175950400909,568.5175950400942,-0.9871302394949264,568.6957645104877,568.6966212298768,-1.6037608307422525e-15,9.23942915777354e-13,9.239443076635956e-13
0.32499999999999996,0.584994669680646,0.0001,32+2,30+0,tidal_expansion_invalid,0.0012939867174634467,84.21599745915519,1.6742342015516707e-10,2.361052109592026,0.026432982761568403,0.15302434631132397,2.3001316420356031e-10,76.30621763716823,covariant adiabatic IRG tide; global binary effects excluded,-1135.2540568498732,0.0,1135.2540568498732,-266.5773209507666,-185.05645836136486,324.51403794988533,-157.0126542379535,-261.7427133858878,305.2248705486729,-2.6287595580158866e-08,-4.382186027575896e-08,5.110179174367695e-08
0.32499999999999996,0.41263333480065467,0.0001,43+3,43+1,ok,3.8927695955592867e-07,18757.516740972856,1.5152139910119802e-17,0.017197187236728972,0.030771255700089463,0.1757995397837745,1.3126746306086391e-08,318.05676440544397,covariant adiabatic IRG tide; global binary effects excluded,1353.8694628526557,-0.0,1353.8694628526557,2.684802505621141e-10,1271.2270594435147,1271.2270594435147,-0.34876948954552073,1272.2270098157815,1272.2270576217759,-5.284604101974796e-18,1.927696165016208e-14,1.9276962374525197e-14
0.32499999999999996,0.41263333480065467,0.0001,43+3,41+1,tidal_expansion_invalid,4.358462239700822e-05,807.4685522518794,1.8994293665531354e-13,0.44358921595446965,0.9160810512561512,0.9968359644755526,5.543175147179254e-09,790.472099436202,covariant adiabatic IRG tide; global binary effects excluded,-3316.2893623249493,0.0,3316.2893623249493,0.19948751534611955,3172.5596830713625,3172.5596893431543,-111.18837517474111,3159.932813371074,3161.888397744808,-2.1119446502623088e-11,6.002069182051886e-10,6.005783676440129e-10
