alpha,chi,state,omega_real_M,gamma_M,separation_real,separation_imag,bilinear_norm_real,bilinear_norm_imag,r_99_M,cf_residual,radial_residual,angular_residual,converged,message
0.2,0.6870453082262965,21+1,0.19895734610440102,1.8708202326455337e-18,2.000039270410351,-7.027791797593491e-20,1.0,1.5001036005131154e-16,279.0509649164539,4.6910414934067675e-14,4.97189381799795e-13,8.79931297932295e-17,True,ok
0.2,0.6870453082262965,21-1,0.1989476606631685,-1.5608827109047214e-07,2.000039634237956,5.86321635830478e-09,1.0000000000000009,-3.477303182539398e-17,276.7313007812628,2.0759847929722004e-14,4.899633798325611e-12,4.857865423975005e-17,True,ok
0.2,0.3838141716843805,32+2,0.19954877071047114,1.3458013068428914e-17,6.0000037941185544,-1.1303258420476378e-19,1.0,-3.649161692537403e-16,538.1330369842053,1.4445518041428454e-12,1.8578398166420637e-13,6.002220887691117e-17,True,ok
0.2,0.3838141716843805,32+0,0.19954851271533072,-3.4679263993350815e-14,6.000013919725425,1.0679826881572542e-15,1.0000000000000002,-1.1833315613256607e-13,537.8347598746512,7.746752171191651e-13,1.1401430677594047e-12,5.582906099162087e-17,True,ok
0.2,0.3838141716843805,32+2,0.19954877071047114,1.3458013068428914e-17,6.0000037941185544,-1.1303258420476378e-19,1.0,-3.649161692537403e-16,538.1330369842053,1.4445518041428454e-12,1.8578398166420637e-13,6.002220887691117e-17,True,ok
0.2,0.3838141716843805,30+0,0.19949830491431228,-5.450248283961137e-05,9.841956000761811e-06,1.0678373580477938e-06,0.9999999999991354,8.768756120519638e-15,566.4685582662086,1.1012283077620091e-13,4.997517690306176e-09,6.334027036896835e-17,True,ok
0.2,0.2616901964540883,43+3,0.19974806497299463,2.299030864977416e-26,12.000000766314946,-6.988592560210152e-29,0.9999999999999996,2.1059735454217908e-17,863.101857218281,6.170174729140562e-12,4.549357042189463e-13,7.218365148843085e-17,True,ok
0.2,0.2616901964540883,43+1,0.19974803935490143,3.0707048196238705e-19,12.000003218850084,-3.920417294482161e-21,1.0,-1.3403276465527323e-16,863.0125764218759,3.0229558145344175e-12,8.28893059377407e-13,6.625170748251224e-17,True,ok
0.2,0.2616901964540883,43+3,0.19974806497299463,2.299030864977416e-26,12.000000766314946,-6.988592560210152e-29,0.9999999999999996,2.1059735454217908e-17,863.101857218281,6.170174729140562e-12,4.549357042189463e-13,7.218365148843085e-17,True,ok
0.2,0.2616901964540883,41+1,0.19974178432295542,-2.8079009862219616e-09,2.0000014137316597,1.5363333991475298e-11,1.0000000012127293,2.224754296800868e-08,1003.1084371478981,2.452905531834887e-14,1.369588371608829e-11,8.637150683944849e-17,True,ok
0.22499999999999998,0.7451164771598099,21+1,0.22349904613622995,1.0280756689203146e-18,2.0000747486729873,-5.102719091352303e-20,0.9999999999999999,1.3782730405086852e-16,218.2246252251337,1.3742966096148154e-14,4.681482308450804e-13,8.7992034761754e-17,True,ok
0.22499999999999998,0.7451164771598099,21-1,0.22347573061791234,-7.547204814429978e-07,2.000075905847786,3.7455646077243754e-08,1.0000000000000002,-2.929080165670365e-16,215.19971865065654,6.229728639379275e-15,4.0257830333073676e-12,5.1903211964715373e-17,True,ok
0.22499999999999998,0.4272064440933289,32+2,0.22435497311504574,1.3287344131137306e-20,6.000007556916206,-1.5544644858664048e-22,0.9999999999999999,2.760014503594688e-16,423.4882562708121,2.902397409849602e-13,1.4954189593688429e-13,6.002224621778457e-17,True,ok
0.22499999999999998,0.4272064440933289,32+0,0.22435438109169265,-2.2829209309714e-13,6.000027734136423,9.792764081786437e-15,1.0,-2.141674209457693e-12,423.1084092478959,1.3014315886702095e-13,8.068431908851311e-13,6.991791925732537e-17,True,ok
