alpha,chi,initial,final,q,eta_abs_M,landau_zener_z,depletion_probability
0.1,0.1327021676878389,43+3,43+1,0.07498942093324558,3.185640734626953e-17,1712.0762826837315,1.0
0.1,0.1327021676878389,43+3,43+1,0.1,4.151531152963866e-17,2197.2305040816423,1.0
0.1,0.1327021676878389,43+3,43+1,0.1333521432163324,5.3732384785244355e-17,2787.7595435052144,1.0
0.1,0.1327021676878389,43+3,43+1,0.1778279410038923,6.89475968745849e-17,3486.5321467445883,1.0
0.1,0.1327021676878389,43+3,43+1,0.23713737056616552,8.75352669271898e-17,4283.843057645008,1.0
0.1,0.1327021676878389,43+3,43+1,0.31622776601683794,1.0971599304779477e-16,5152.02958410213,1.0
0.1,0.1327021676878389,43+3,43+1,0.4216965034285822,1.3545470383752696e-16,6042.063280235725,1.0
0.1,0.1327021676878389,43+3,43+1,0.5623413251903491,1.643709502996416e-16,6884.993919175591,1.0
0.1,0.1327021676878389,43+3,43+1,0.7498942093324559,1.956992640100436e-16,7600.52814593969,1.0
0.1,0.1327021676878389,43+3,43+1,1.0,2.2833421341301266e-16,8112.351666366867,1.0
0.1,0.1327021676878389,43+3,41+1,0.0001,9.454602690805653e-14,150.91711313120985,1.0
0.1,0.1327021676878389,43+3,41+1,0.0001333521432163324,1.2607494875848166e-13,201.24001952494723,1.0
0.1,0.1327021676878389,43+3,41+1,0.00017782794100389227,1.6811617012449537e-13,268.3379904924772,1.0
0.1,0.1327021676878389,43+3,41+1,0.00023713737056616554,2.2417322273217304e-13,357.79909887395394,1.0
0.1,0.1327021676878389,43+3,41+1,0.00031622776601683794,2.98916161238006e-13,477.0698939315367,1.0
0.1,0.1327021676878389,43+3,41+1,0.00042169650342858224,3.9856908414172387e-13,636.0711502468365,1.0
0.1,0.1327021676878389,43+3,41+1,0.0005623413251903491,5.314257051323878e-13,848.0158039946098,1.0
0.1,0.1327021676878389,43+3,41+1,0.0007498942093324559,7.085347543461204e-13,1130.4940469491542,1.0
0.1,0.1327021676878389,43+3,41+1,0.001,9.446102049025713e-13,1506.9103139488532,1.0
0.1,0.1327021676878389,43+3,41+1,0.001333521432163324,1.2592383898499774e-12,2008.381794131881,1.0
0.1,0.1327021676878389,43+3,41+1,0.0017782794100389228,1.6784758597072159e-12,2676.238717515148,1.0
0.1,0.1327021676878389,43+3,41+1,0.0023713737056616554,2.236959159675737e-12,3565.302981075768,1.0
0.1,0.1327021676878389,43+3,41+1,0.0031622776601683794,2.980681126939201e-12,4748.162201941193,1.0
0.1,0.1327021676878389,43+3,41+1,0.004216965034285823,3.970627595574105e-12,6320.696604514548,1.0
0.1,0.1327021676878389,43+3,41+1,0.005623413251903491,5.2875116147923046e-12,8409.146285906243,1.0
0.1,0.1327021676878389,43+3,41+1,0.007498942093324558,7.037884119086593e-12,11179.006359273504,1.0
0.1,0.1327021676878389,43+3,41+1,0.01,9.361928862450232e-12,14845.969986343032,1.0
0.1,0.1327021676878389,43+3,41+1,0.01333521432163324,1.2443242802680584e-11,19688.93881854229,1.0
0.1,0.1327021676878389,43+3,41+1,0.01778279410038923,1.65208202429381e-11,26064.677753774267,1.0
0.1,0.1327021676878389,43+3,41+1,0.023713737056616554,2.190323080214388e-11,34422.8361323037,1.0
0.1,0.1327021676878389,43+3,41+1,0.03162277660168379,2.898449836604863e-11,45318.5491474025,1.0
0.1,0.1327021676878389,43+3,41+1,0.042169650342858224,3.8260292765165686e-11,59417.38009265645,1.0
0.1,0.1327021676878389,43+3,41+1,0.05623413251903491,5.034154184163043e-11,77483.73342296982,1.0
0.1,0.1327021676878389,43+3,41+1,0.07498942093324558,6.596028450586461e-11,100339.18071365687,1.0
0.1,0.1327021676878389,43+3,41+1,0.1,8.595952864613396e-11,128772.47985295171,1.0
0.1,0.1327021676878389,43+3,41+1,0.1333521432163324,1.1125558978100976e-10,163381.45177942616,1.0
0.1,0.1327021676878389,43+3,41+1,0.1778279410038923,1.4275944730396104e-10,204334.2242833953,1.0
0.1,0.1327021676878389,43+3,41+1,0.23713737056616552,1.8124614769186684e-10,251062.0041042819,1.0
0.1,0.1327021676878389,43+3,41+1,0.31622776601683794,2.2717245035239247e-10,301943.57150429906,1.0
0.1,0.1327021676878389,43+3,41+1,0.4216965034285822,2.804657382002989e-10,354105.5299291913,1.0
0.1,0.1327021676878389,43+3,41+1,0.5623413251903491,3.403382725620915e-10,403506.93252153706,1.0
0.1,0.1327021676878389,43+3,41+1,0.7498942093324559,4.05205112785651e-10,445442.0488549908,1.0
0.1,0.1327021676878389,43+3,41+1,1.0,4.727774075537367e-10,475438.348219141,1.0
0.125,0.4697634897135886,21+1,21-1,0.0001,1.1929536812700404e-14,0.27645430894134837,0.8239546509446587
0.125,0.4697634897135886,21+1,21-1,0.0001333521432163324,1.5907762510594327e-14,0.3686372564040761,0.9013538617368549
0.125,0.4697634897135886,21+1,21-1,0.00017782794100389227,2.1212398933068998e-14,0.49154924968523467,0.9544295146619262
0.125,0.4697634897135886,21+1,21-1,0.00023713737056616554,2.8285511305576207e-14,0.6554266813534771,0.9837256868446392
0.125,0.4697634897135886,21+1,21-1,0.00031622776601683794,3.7716353251603616e-14,0.8739103545460722,0.9958760370607721
0.125,0.4697634897135886,21+1,21-1,0.00042169650342858224,5.029026303026822e-14,1.1651734295111749,0.9993384999988169
0.125,0.4697634897135886,21+1,21-1,0.0005623413251903491,6.705371679718748e-14,1.553419742801784,0.9999423098496688
0.125,0.4697634897135886,21+1,21-1,0.0007498942093324559,8.940081049909692e-14,2.0708715136892253,0.9999977658941295
0.125,0.4697634897135886,21+1,21-1,0.001,1.1918810955426248e-13,2.760401659135425,0.9999999706541631
0.125,0.4697634897135886,21+1,21-1,0.001333521432163324,1.588869592826942e-13,3.6790115412848645,0.9999999999086124
0.125,0.4697634897135886,21+1,21-1,0.0017782794100389228,2.1178509782413646e-13,4.902411064340239,0.999999999999958
0.125,0.4697634897135886,21+1,21-1,0.0023713737056616554,2.8225286155927387e-13,6.531024556127679,1.0
0.125,0.4697634897135886,21+1,21-1,0.0031622776601683794,3.760934900556092e-13,8.697820101672923,1.0
0.125,0.4697634897135886,21+1,21-1,0.004216965034285823,5.010019946897318e-13,11.57843385401755,1.0
0.125,0.4697634897135886,21+1,21-1,0.005623413251903491,6.671625082414831e-13,15.404116054325426,1.0
0.125,0.4697634897135886,21+1,21-1,0.007498942093324558,8.88019311100303e-13,20.478025411319503,1.0
0.125,0.4697634897135886,21+1,21-1,0.01,1.1812603729090768e-12,27.19527486303144,1.0
0.125,0.4697634897135886,21+1,21-1,0.01333521432163324,1.5700514124015315e-12,36.066764477109245,1.0
0.125,0.4697634897135886,21+1,21-1,0.01778279410038923,2.0845480207835346e-12,47.74602645581916,1.0
0.125,0.4697634897135886,21+1,21-1,0.023713737056616554,2.7636845959201603e-12,63.05674139475245,1.0
0.125,0.4697634897135886,21+1,21-1,0.03162277660168379,3.657177901210861e-12,83.01582190932314,1.0
0.125,0.4697634897135886,21+1,21-1,0.042169650342858224,4.827570083411359e-12,108.8424659855478,1.0
0.125,0.4697634897135886,21+1,21-1,0.05623413251903491,6.351946202793353e-12,141.93693169189666,1.0
0.125,0.4697634897135886,21+1,21-1,0.07498942093324558,8.322672754447094e-12,183.80419747241098,1.0
0.125,0.4697634897135886,21+1,21-1,0.1,1.0846117969437885e-11,235.88913271525732,1.0
0.125,0.4697634897135886,21+1,21-1,0.1333521432163324,1.4037899817852146e-11,299.2868430119394,1.0
0.125,0.4697634897135886,21+1,21-1,0.1778279410038923,1.8012962973362602e-11,374.30530968492616,1.0
0.125,0.4697634897135886,21+1,21-1,0.23713737056616552,2.2869100498034937e-11,459.9026008782417,1.0
0.125,0.4697634897135886,21+1,21-1,0.31622776601683794,2.866394493705889e-11,553.1089196420704,1.0
0.125,0.4697634897135886,21+1,21-1,0.4216965034285822,3.538833368233851e-11,648.6606955155172,1.0
0.125,0.4697634897135886,21+1,21-1,0.5623413251903491,4.294287220814313e-11,739.1556058079397,1.0
0.125,0.4697634897135886,21+1,21-1,0.7498942093324559,5.1127577411282336e-11,815.9735581647464,1.0
0.125,0.4697634897135886,21+1,21-1,1.0,5.965364883190837e-11,870.9216421789441,1.0
0.125,0.24594549892517448,32+2,32+0,0.0001,2.4964454932038298e-17,0.5383130249070158,0.966031460405132
0.125,0.24594549892517448,32+2,32+0,0.0001333521432163324,3.3289525528142056e-17,0.7178120585214036,0.9890031474551966
0.125,0.24594549892517448,32+2,32+0,0.00017782794100389227,4.439032172659405e-17,0.9571468229311297,0.997555539548534
0.125,0.24594549892517448,32+2,32+0,0.00023713737056616554,5.919193538729478e-17,1.2762496659764886,0.9996708224047196
