alpha,chi,state,omega_real_M,gamma_M,separation_real,separation_imag,bilinear_norm_real,bilinear_norm_imag,r_99_M,cf_residual,radial_residual,angular_residual,converged,message,truncation,real_frequency_relative_to_max_N,gamma_relative_to_max_N,norm_error
0.15,0.5491343012133714,21+1,0.14956803799875973,-3.6945965809720225e-19,2.0000078041888925,6.665338072158059e-21,0.9999999999999998,7.753623840238081e-17,504.5795020120139,1.340042008360344e-13,5.445221428449013e-11,8.497043025270672e-17,True,ok,250,1.1635337431614676e-13,9.151399786453707,2.3519284606871884e-16
0.15,0.5491343012133714,21+1,0.14956803799874233,4.5324688737655066e-20,2.000007804188893,-8.17692451207458e-22,1.0000000000000002,-1.7829838171833036e-19,504.57950200895556,1.4104202938656593e-13,2.2563255901014235e-12,8.637123470012856e-17,True,ok,400,0.0,0.0,2.2204467651044046e-16
0.15,0.5491343012133714,21-1,0.14956683292570674,-4.084738358079922e-09,2.0000078259292557,7.369124611883361e-11,1.000000000843519,3.5858992955421365e-10,503.31117748988447,1.0970684691717263e-13,7.229659700376039e-09,5.013539904218407e-17,True,ok,150,1.6364389594909155e-11,0.00023706908421450117,9.165757446059853e-10
0.15,0.5491343012133714,21-1,0.1495668329280523,-4.08380981199259e-09,2.000007825929213,7.36744945652374e-11,1.000000000843519,3.585901047637093e-10,503.31117860113454,3.2338591110798915e-14,3.413423854144642e-10,8.799410036295653e-17,True,ok,250,6.819810140422887e-13,9.694369977358672e-06,9.165758131528283e-10
0.15,0.5491343012133714,21-1,0.14956683292815431,-4.083770222413152e-09,2.0000078259292113,7.36737803444034e-11,1.000000000843519,3.5859011457424476e-10,503.311178617746,8.523738095440143e-14,1.3890903100579654e-11,5.1900722293959653e-17,True,ok,400,0.0,0.0,9.165758169909843e-10
0.15,0.1978827283895547,43+3,0.14989407135020338,9.724498805485566e-29,12.000000138214812,-1.2683962202631254e-31,1.0000000000000002,-1.1891422059974095e-17,1539.877902683761,1.843864773241792e-11,8.607192513726279e-13,8.008783553179939e-17,True,ok,150,0.0,4.582950468772967e-12,2.223627947632465e-16
0.15,0.1978827283895547,43+3,0.14989407135020338,9.724498805529639e-29,12.000000138214812,-1.2683962202688738e-31,0.9999999999999998,4.566434594920807e-17,1539.877902683755,1.844641827082655e-11,8.747433925345765e-13,8.008783553179939e-17,True,ok,250,0.0,5.083841420522899e-14,2.2669150638540074e-16
0.15,0.1978827283895547,43+3,0.14989407135020338,9.724498805530133e-29,12.000000138214812,-1.2683962202689386e-31,1.0,3.7671403705332603e-16,1539.8779026837406,1.8446539924708047e-11,8.941132048456423e-13,8.008783553179939e-17,True,ok,400,0.0,0.0,3.7671403705332603e-16
0.15,0.1978827283895547,43+1,0.14989406794380994,1.6392791715836782e-21,12.000000580520878,-8.980281011209946e-24,0.9999999999999999,3.424939577049998e-16,1539.8276833552968,1.0739986028802304e-11,5.963937799435929e-12,6.504736906260293e-17,True,ok,150,0.0,1.9805910937457657e-10,3.6003897387437444e-16
0.15,0.1978827283895547,43+1,0.14989406794380994,1.6392791719089724e-21,12.000000580520878,-8.980281011209946e-24,0.9999999999999997,1.319366530041553e-16,1539.827683355299,1.0742049656308723e-11,5.963883772035341e-12,6.504736906260293e-17,True,ok,250,0.0,3.7827405518969227e-13,3.582469053636663e-16
0.15,0.1978827283895547,43+1,0.14989406794380994,1.6392791719083523e-21,12.000000580520878,-8.980281011209946e-24,1.0,3.679981224973542e-16,1539.8276833553132,1.0742081989333273e-11,5.963842547966266e-12,6.504736906260293e-17,True,ok,400,0.0,0.0,3.679981224973542e-16
0.15,0.1978827283895547,43+3,0.14989407135020338,9.724498805485566e-29,12.000000138214812,-1.2683962202631254e-31,1.0000000000000002,-1.1891422059974095e-17,1539.877902683761,1.843864773241792e-11,8.607192513726279e-13,8.008783553179939e-17,True,ok,150,0.0,4.582950468772967e-12,2.223627947632465e-16
0.15,0.1978827283895547,43+3,0.14989407135020338,9.724498805529639e-29,12.000000138214812,-1.2683962202688738e-31,0.9999999999999998,4.566434594920807e-17,1539.877902683755,1.844641827082655e-11,8.747433925345765e-13,8.008783553179939e-17,True,ok,250,0.0,5.083841420522899e-14,2.2669150638540074e-16
0.15,0.1978827283895547,43+3,0.14989407135020338,9.724498805530133e-29,12.000000138214812,-1.2683962202689386e-31,1.0,3.7671403705332603e-16,1539.8779026837406,1.8446539924708047e-11,8.941132048456423e-13,8.008783553179939e-17,True,ok,400,0.0,0.0,3.7671403705332603e-16
0.15,0.1978827283895547,41+1,0.14989264408804873,-1.0114156774500371e-10,2.0000002521375575,2.374574214535961e-13,1.0000000000052789,1.6483664489822726e-09,1807.219087832285,1.1298194779416508e-12,9.922978410446741e-08,8.799433414232742e-17,False,mode-function or normalization residual failed,150,3.2015840758055617e-12,0.00349454570121064,1.6483749017725193e-09
