alpha,chi,initial,final,kind,support,support_inner_M,support_outer_M,relative_amplitude,absolute_amplitude,omega_res_M,physical_kernel_abs,pure_gauge_kernel_abs,shifted_kernel_abs,ward_evaluation,pure_gauge_residual,invariance_residual,off_0p99_residual,off_1p01_residual
0.25,0.46911119480762914,32+2,30+0,radial,near_horizon,3.8831391096006103,11.88313910960061,1.0,2863.5186488537497,4.88162443629675e-05,2123.9607139973227,0.0,2123.9607139973227,compact-support Green identity,0.0,0.0,4.610321254251578e-12,4.610289073400098e-12
0.25,0.46911119480762914,32+2,30+0,radial,cloud_core,70.45576449613156,246.59517573646045,0.1,2039505.5989437725,4.88162443629675e-05,2123.9607139973227,0.0,2123.9607139973227,compact-support Green identity,0.0,0.0,1.4423158099810124e-06,1.442405387509263e-06
0.25,0.46911119480762914,32+2,30+0,radial,cloud_core,70.45576449613156,246.59517573646045,1.0,20395055.989437725,4.88162443629675e-05,2123.9607139973227,0.0,2123.9607139973227,compact-support Green identity,0.0,0.0,1.4423158099810149e-05,1.4424053875092641e-05
0.25,0.46911119480762914,32+2,30+0,polar,near_horizon,3.8831391096006103,11.88313910960061,0.1,460.64753393786975,4.88162443629675e-05,2123.9607139973227,0.0,2123.9607139973227,compact-support Green identity,0.0,0.0,3.561008287859024e-13,3.5609834313962146e-13
0.25,0.46911119480762914,32+2,30+0,polar,near_horizon,3.8831391096006103,11.88313910960061,1.0,4606.475339378697,4.88162443629675e-05,2123.9607139973227,0.0,2123.9607139973227,compact-support Green identity,0.0,0.0,3.561008287859026e-12,3.5609834313962092e-12
0.25,0.46911119480762914,32+2,30+0,polar,cloud_core,70.45576449613156,246.59517573646045,0.1,85166636.28605816,4.88162443629675e-05,2123.9607139973227,0.0,2123.9607139973227,compact-support Green identity,0.0,0.0,1.8002311702462737e-06,1.8003429767295624e-06
0.25,0.46911119480762914,32+2,30+0,polar,cloud_core,70.45576449613156,246.59517573646045,1.0,851666362.8605815,4.88162443629675e-05,2123.9607139973227,0.0,2123.9607139973227,compact-support Green identity,0.0,0.0,1.800231170246271e-05,1.8003429767295617e-05
0.25,0.46911119480762914,32+2,30+0,axial,near_horizon,3.8831391096006103,11.88313910960061,0.1,964.0698974128048,4.88162443629675e-05,2123.9607139973227,0.0,2123.9607139973227,compact-support Green identity,0.0,0.0,5.086619791735481e-30,1.4556586489880204e-29
0.25,0.46911119480762914,32+2,30+0,axial,near_horizon,3.8831391096006103,11.88313910960061,1.0,9640.698974128049,4.88162443629675e-05,2123.9607139973227,0.0,2123.9607139973227,compact-support Green identity,0.0,0.0,4.784903212121781e-29,3.1086365605851714e-29
0.25,0.46911119480762914,32+2,30+0,axial,cloud_core,70.45576449613156,246.59517573646045,0.1,178296489.50630674,4.88162443629675e-05,2123.9607139973227,0.0,2123.9607139973227,compact-support Green identity,0.0,0.0,2.691081568585008e-23,4.6695900975881274e-23
0.25,0.46911119480762914,32+2,30+0,axial,cloud_core,70.45576449613156,246.59517573646045,1.0,1782964895.0630674,4.88162443629675e-05,2123.9607139973227,0.0,2123.9607139973227,compact-support Green identity,0.0,0.0,2.500255992479195e-22,4.0717053667801075e-22
0.45,0.5485222024975507,43+3,41+1,temporal,near_horizon,3.83613598975719,11.83613598975719,0.1,1809.8990696689968,0.0008408637439823452,671.1188795933557,0.0,671.1188795933557,compact-support Green identity,0.0,0.0,1.6632734969519142e-09,1.6631685746806418e-09
0.45,0.5485222024975507,43+3,41+1,temporal,near_horizon,3.83613598975719,11.83613598975719,1.0,18098.99069668997,0.0008408637439823452,671.1188795933557,0.0,671.1188795933557,compact-support Green identity,0.0,0.0,1.663273496951918e-08,1.6631685746806442e-08
0.45,0.5485222024975507,43+3,41+1,temporal,cloud_core,53.72971019692427,188.05398568923493,0.1,145321279.1423064,0.0008408637439823452,671.1188795933557,0.0,671.1188795933557,compact-support Green identity,0.0,0.0,0.1245854302184639,0.1255305652198773
0.45,0.5485222024975507,43+3,41+1,temporal,cloud_core,53.72971019692427,188.05398568923493,1.0,1453212791.4230638,0.0008408637439823452,671.1188795933557,0.0,671.1188795933557,compact-support Green identity,0.0,0.0,1.2458543021846376,1.2553056521987707
0.45,0.5485222024975507,43+3,41+1,radial,near_horizon,3.83613598975719,11.83613598975719,0.1,282.8528966915275,0.0008408637439823452,671.1188795933557,0.0,671.1188795933557,compact-support Green identity,0.0,0.0,1.1180260211535606e-10,1.1179554796552301e-10
0.45,0.5485222024975507,43+3,41+1,radial,near_horizon,3.83613598975719,11.83613598975719,1.0,2828.528966915275,0.0008408637439823452,671.1188795933557,0.0,671.1188795933557,compact-support Green identity,0.0,0.0,1.118026021153561e-09,1.117955479655232e-09
0.45,0.5485222024975507,43+3,41+1,radial,cloud_core,53.72971019692427,188.05398568923493,0.1,1144927.3741372395,0.0008408637439823452,671.1188795933557,0.0,671.1188795933557,compact-support Green identity,0.0,0.0,0.000105088127943601,0.00010588535171573924
0.45,0.5485222024975507,43+3,41+1,radial,cloud_core,53.72971019692427,188.05398568923493,1.0,11449273.741372393,0.0008408637439823452,671.1188795933557,0.0,671.1188795933557,compact-support Green identity,0.0,0.0,0.00105088127943601,0.0010588535171573924
0.45,0.5485222024975507,43+3,41+1,polar,near_horizon,3.83613598975719,11.83613598975719,0.1,452.4747674172492,0.0008408637439823452,671.1188795933557,0.0,671.1188795933557,compact-support Green identity,0.0,0.0,8.162332734872654e-11,8.161817550288165e-11
0.45,0.5485222024975507,43+3,41+1,polar,near_horizon,3.83613598975719,11.83613598975719,1.0,4524.747674172492,0.0008408637439823452,671.1188795933557,0.0,671.1188795933557,compact-support Green identity,0.0,0.0,8.162332734872653e-10,8.161817550288152e-10
0.45,0.5485222024975507,43+3,41+1,polar,cloud_core,53.72971019692427,188.05398568923493,0.1,36330319.7855766,0.0008408637439823452,671.1188795933557,0.0,671.1188795933557,compact-support Green identity,0.0,0.0,2.323309119312649e-05,2.3409343005857108e-05
0.45,0.5485222024975507,43+3,41+1,polar,cloud_core,53.72971019692427,188.05398568923493,1.0,363303197.85576594,0.0008408637439823452,671.1188795933557,0.0,671.1188795933557,compact-support Green identity,0.0,0.0,0.00023233091193126468,0.0002340934300585714
0.45,0.5485222024975507,43+3,41+1,axial,near_horizon,3.83613598975719,11.83613598975719,0.1,946.8540044646173,0.0008408637439823452,671.1188795933557,0.0,671.1188795933557,compact-support Green identity,0.0,0.0,3.605743765658929e-27,5.7295977079565134e-27
0.45,0.5485222024975507,43+3,41+1,axial,near_horizon,3.83613598975719,11.83613598975719,1.0,9468.540044646172,0.0008408637439823452,671.1188795933557,0.0,671.1188795933557,compact-support Green identity,0.0,0.0,3.809074864191738e-26,7.02445831910277e-26
0.45,0.5485222024975507,43+3,41+1,axial,cloud_core,53.72971019692427,188.05398568923493,0.1,76057504.09765463,0.0008408637439823452,671.1188795933557,0.0,671.1188795933557,compact-support Green identity,0.0,0.0,5.102540745713699e-22,6.06487488576981e-22
0.45,0.5485222024975507,43+3,41+1,axial,cloud_core,53.72971019692427,188.05398568923493,1.0,760575040.9765463,0.0008408637439823452,671.1188795933557,0.0,671.1188795933557,compact-support Green identity,0.0,0.0,3.405779811607063e-21,7.451175726180562e-21
