point_id,alpha,chi,initial,final,kernel_status,failure_stage,omega_res_M,r_99_M,message,hydrogenic_kernel_M_real,hydrogenic_kernel_M_imag,hydrogenic_kernel_M_abs,semirelativistic_kernel_M_real,semirelativistic_kernel_M_imag,semirelativistic_kernel_M_abs,covariant_kernel_M_real,covariant_kernel_M_imag,covariant_kernel_M_abs
a0.250000_32+2_32+0,0.25,0.4691111948076628,32+2,32+0,ok,,6.233846494285711e-07,341.49446980459555,q-independent covariant adiabatic Kerr kernel,1410.9060918431073,-0.0,1410.9060918431073,3.404712066282311e-06,1314.4010910877694,1314.4010910877694,-0.5956038108920302,1314.5343838615283,1314.5345187929101
a0.250000_43+3_41+1,0.25,0.32371778693968384,43+3,41+1,ok,,1.0190847178861984e-05,630.3200570508183,q-independent covariant adiabatic Kerr kernel,-7285.8877290279215,0.0,7285.8877290279215,-0.11182577209742266,7122.371203050027,7122.371203927895,-101.70128524169262,7110.563297494472,7111.290569165014
a0.250000_43+3_43+1,0.25,0.32371778693968384,43+3,43+1,ok,,6.139369682078843e-08,549.8840139662234,q-independent covariant adiabatic Kerr kernel,2974.4512098872883,-0.0,2974.4512098872883,3.600997263262234e-11,2866.0977159347312,2866.0977159347312,-0.20866925397960653,2867.340388524919,2867.340396117819
a0.275000_21+1_21-1,0.275,0.839861984452313,21+1,21-1,ok,,5.517886034780983e-05,142.55082855446997,q-independent covariant adiabatic Kerr kernel,432.7573253193067,-0.0,432.7573253193067,-2.1264627239460876,-332.6017874663208,332.60858508088444,3.4006967635087424,-331.4284019167688,331.44584827024244
a0.275000_32+2_30+0,0.275,0.5094294595450874,32+2,30+0,ok,,5.799609802828454e-05,288.1484992612452,q-independent covariant adiabatic Kerr kernel,-1873.8941870016279,0.0,1873.8941870016279,249.25266110097252,1784.4477077989936,1801.7714924304355,165.88591378822315,1729.9573789906715,1737.8925943560573
a0.275000_32+2_32+0,0.275,0.5094294595450874,32+2,32+0,ok,,1.2251771846494286e-06,280.84207787094823,q-independent covariant adiabatic Kerr kernel,1060.0346294839242,-0.0,1060.0346294839242,9.38120103937995e-06,972.5185073966472,972.5185073966474,-0.7162840559104574,972.666541820828,972.6668055611527
a0.275000_43+3_41+1,0.275,0.35394788809371,43+3,41+1,ok,,1.7073200414552403e-05,514.992835475707,q-independent covariant adiabatic Kerr kernel,-5473.995288525846,0.0,5473.995288525846,-0.1375703683448299,5319.856982041133,5319.856983819904,-104.39698356354369,5308.1376733361485,5309.16417991266
a0.275000_43+3_43+1,0.275,0.35394788809371,43+3,43+1,ok,,1.2000999216610353e-07,453.2507598698163,q-independent covariant adiabatic Kerr kernel,2234.749218547918,-0.0,2234.749218547918,7.10578161265848e-11,2136.5047368805594,2136.5047368805594,-0.25165520560090154,2137.650189429832,2137.6502042429065
a0.300000_21+1_21-1,0.3,0.8771530275949109,21+1,21-1,ok,,0.00011035736403025576,118.08047417324384,q-independent covariant adiabatic Kerr kernel,333.33333333333184,-0.0,333.33333333333184,-4.09967944788761,-239.08036061121268,239.11550807415844,2.5156817190800136,-237.88579917501815,237.8991006785204
a0.300000_32+2_30+0,0.3,0.5480790804374219,32+2,30+0,ok,,6.151440915208584e-05,240.2459134104346,q-independent covariant adiabatic Kerr kernel,-1443.3756729740544,0.0,1443.3756729740544,228.41895831213583,1398.2340770174394,1416.7687724710804,161.72624651673337,1342.6652341234158,1352.370256156234
a0.300000_32+2_32+0,0.3,0.5480790804374219,32+2,32+0,ok,,2.2752931222724815e-06,234.72209926772905,q-independent covariant adiabatic Kerr kernel,816.4965809277214,-0.0,816.4965809277214,2.448915619552358e-05,736.4755050232311,736.4755050232316,-0.8468869646970774,736.6385193269571,736.6390061446263
a0.300000_43+3_41+1,0.3,0.38359920305655254,43+3,41+1,ok,,2.76412132352577e-05,426.98519564180907,q-independent covariant adiabatic Kerr kernel,-4216.370213557815,0.0,4216.370213557815,-0.08948140532246171,4068.7590639220234,4068.759064905975,-107.58198504664425,4056.79158782815,4058.2178195089305
a0.300000_43+3_43+1,0.3,0.38359920305655254,43+3,43+1,ok,,2.214341117690033e-07,379.7549849739071,q-independent covariant adiabatic Kerr kernel,1721.3259316477322,-0.0,1721.3259316477322,9.301637780063485e-11,1631.523957363763,1631.523957363763,-0.2983883732288673,1632.5898534855035,1632.5898807537178
a0.325000_21+1_21-1,0.32499999999999996,0.9083063391388978,21+1,21-1,ok,,0.0002062347685888033,99.03233592389819,q-independent covariant adiabatic Kerr kernel,262.1756941283555,-0.0,262.1756941283555,-7.183772899381031,-173.1451869405206,173.29414979663252,0.38437737909754816,-171.87048062202885,171.87091043925017
a0.325000_32+2_30+0,0.32499999999999996,0.584994669680646,32+2,30+0,ok,,5.560532240184157e-05,203.58872235189776,q-independent covariant adiabatic Kerr kernel,-1135.2540568498732,0.0,1135.2540568498732,206.58515208152826,1125.2118826442081,1144.0188835435677,154.31221172416707,1068.023629003466,1079.113863684893
a0.325000_32+2_32+0,0.32499999999999996,0.584994669680646,32+2,32+0,ok,,4.030920999986698e-06,198.8383584516149,q-independent covariant adiabatic Kerr kernel,642.1966735744677,-0.0,642.1966735744677,6.119135522421124e-05,568.5175953563183,568.5175953563216,-0.987130394059772,568.6957648330298,568.6966215526866
a0.325000_43+3_41+1,0.32499999999999996,0.4126333348006423,43+3,41+1,ok,,4.358462239700822e-05,358.1841922802668,q-independent covariant adiabatic Kerr kernel,-3316.2893623249493,0.0,3316.2893623249493,0.1994877025341392,3172.559690234216,3172.5596965060195,-111.18837493738799,3159.9328206439254,3161.888405004815
a0.325000_43+3_43+1,0.32499999999999996,0.4126333348006423,43+3,43+1,ok,,3.892769595281731e-07,322.57652744543356,q-independent covariant adiabatic Kerr kernel,1353.8694628526557,-0.0,1353.8694628526557,2.1211303717622594e-10,1271.22706012426,1271.22706012426,-0.34876948012485337,1272.2270105681562,1272.2270583741479
a0.350000_21+1_21-1,0.35,0.9338374008792171,21+1,21-1,ok,,0.0003509586639379447,83.90648486222992,q-independent covariant adiabatic Kerr kernel,209.91253644314776,-0.0,209.91253644314776,-11.095174844745822,-126.46210553720134,126.94789104879895,-2.981535361945114,-125.14206141693612,125.17757422475776
a0.350000_32+2_30+0,0.35,0.6201272777429633,32+2,30+0,ok,,3.587726969100924e-05,174.97508261764392,q-independent covariant adiabatic Kerr kernel,-908.9479456629637,0.0,908.9479456629637,184.95703605688539,926.8683701529101,945.1423600584517,145.23895720966757,867.5560693734083,879.6294038957484
a0.350000_32+2_32+0,0.35,0.6201272777429633,32+2,32+0,ok,,6.863557426767253e-06,170.38162761468138,q-independent covariant adiabatic Kerr kernel,514.1786048990912,-0.0,514.1786048990912,0.00014754415633799292,445.9313205279351,445.9313205279595,-1.1367831279857459,446.1247282334296,446.1261765658136
a0.350000_43+3_41+1,0.35,0.4410151180265187,43+3,41+1,ok,,6.732660997371687e-05,303.21585647064865,q-independent covariant adiabatic Kerr kernel,-2655.2068983337886,0.0,2655.2068983337886,1.1262489417172363,2512.7020703532694,2512.7023227581667,-114.8506343132789,2498.884029826269,2501.521949278666
a0.350000_43+3_43+1,0.35,0.4410151180265187,43+3,43+1,ok,,6.56771268953138e-07,277.20316836348553,q-independent covariant adiabatic Kerr kernel,1083.9836770726263,-0.0,1083.9836770726263,5.425383195337484e-10,1007.4918257945947,1007.4918257945947,-0.40269362150304644,1008.4365383199881,1008.4366187227404
a0.375000_21+1_21-1,0.375,0.9542898557486134,21+1,21-1,ok,,0.0005296484483029995,71.68391363919622,q-independent covariant adiabatic Kerr kernel,170.66666666666586,-0.0,170.66666666666586,-14.935331022010395,-93.72868762676423,94.91117424714844,-6.864083460040291,-92.46389400448903,92.71832254856524
a0.375000_32+2_30+0,0.375,0.6534438016821429,32+2,30+0,no_prograde_resonance,resonance,-2.607124276798878e-06,,the prograde resonance frequency is non-positive,,,,,,,,,
