alpha,chi,q,status,residual,discriminant_normalized,omega_res_M,radius_M,radius_over_cloud,eta_M,delta_gamma_M,analytic_q
0.06716163415705019,0.6394,1.5613521127430323,root_q_gt_1,1.1658220476353678e-16,1.2242054223399006e-16,4.890113217929734e-09,474909.0937954335,535.5413436234783,4.3306007153105005e-13,8.661201430621e-13,1.5613521127430334
0.06716163415705019,0.6443944444444445,1.5280811808370058,root_q_gt_1,1.1575775918745502e-16,1.2069519830598904e-16,4.928310588580333e-09,470397.4499033486,530.453692400361,4.3614439574963876e-13,8.722887914992774e-13,1.5280811808370054
0.06716163415705019,0.6493888888888889,1.496127926981351,root_q_gt_1,2.298939254750094e-16,1.7851554079017128e-16,4.966507959230933e-09,466002.4384367071,525.4975642132271,4.392208087258307e-13,8.784416174516616e-13,1.4961279269813519
0.06716163415705019,0.6543833333333333,1.4654146935883101,root_q_gt_1,1.1414951658502383e-16,1.1736481632592675e-16,5.004705329881533e-09,461718.89971848216,520.6671406425015,4.4228919617490997e-13,8.8457839234982e-13,1.4654146935883101
0.06716163415705019,0.6593777777777777,1.4358697887769138,root_q_gt_1,0.0,0.0,5.042902700532132e-09,457541.9974460898,515.95696792868,4.453494412276811e-13,8.906988824553622e-13,1.4358697887769138
0.06716163415705019,0.6643722222222223,1.4074269234134655,root_q_gt_1,0.0,0.0,5.081100071182733e-09,453467.19251810515,511.36192745746837,4.484014243052599e-13,8.968028486105198e-13,1.407426923413466
0.06716163415705019,0.6693666666666667,1.3800247106648995,root_q_gt_1,0.0,0.0,5.1192974418333326e-09,449490.21943363216,506.87720914602977,4.514450229857938e-13,9.028900459715876e-13,1.3800247106649004
0.06716163415705019,0.6743611111111111,1.3536062201092565,root_q_gt_1,2.221751694579073e-16,2.2230581076408404e-16,5.1574948124839314e-09,445607.0649681693,502.49828739637115,4.544801118624547e-13,9.089602237249092e-13,1.3536062201092562
0.06716163415705019,0.6793555555555556,1.3281185795836135,root_q_gt_1,0.0,0.0,5.195692183134532e-09,441813.94886864565,498.2208993256897,4.575065623919848e-13,9.150131247839697e-13,1.3281185795836135
0.06716163415705019,0.68435,1.3035126189065018,root_q_gt_1,0.0,0.0,5.233889553785132e-09,438107.3063434347,494.0410250208644,4.605242427330029e-13,9.210484854660058e-13,1.3035126189065018
