x,omega_M,population_211,population_21m1,norm
-10145.08390491061,8.011551831509844e-08,0.9999552919147103,3.972222787545601e-05,0.9999950141425857
-10145.083894604635,8.011551831752074e-08,0.9999601384964947,3.478891191062377e-05,0.9999949274084053
-10145.08388429866,8.011551831994304e-08,0.9999648822263421,2.9969814850936113e-05,0.999994852041193
-10145.083873992684,8.011551832236533e-08,0.9999694584777735,2.53292219566059e-05,0.9999947876997302
-10145.083863686708,8.011551832478764e-08,0.9999738050399989,2.0928855929161037e-05,0.9999947338959281
-10145.083853380733,8.011551832720993e-08,0.9999778629537852,1.682704798218205e-05,0.9999946900017674
-10145.083843074757,8.011551832963223e-08,0.9999815773014016,1.3077956714596355e-05,0.9999946552581161
-10145.083835182999,8.01155183314871e-08,0.9999841578323188,1.047646305084857e-05,0.9999946342953696
-10145.08382729124,8.011551833334195e-08,0.9999864870096467,8.13073635482312e-06,0.9999946177460015
-10145.083819399482,8.011551833519682e-08,0.9999885464791893,6.058658517951198e-06,0.9999946051377073
-10145.083811507724,8.011551833705168e-08,0.9999903200602009,4.275908043116023e-06,0.999994595968244
-10145.083803615966,8.011551833890655e-08,0.9999917938699437,2.795839524006074e-06,0.9999945897094678
-10145.083795724207,8.011551834076141e-08,0.9999929564297869,1.6293817847418755e-06,0.9999945858115716
-10145.08378855202,8.011551834244715e-08,0.9999937354056694,8.484345584344544e-07,0.9999945838402278
-10145.083782459187,8.01155183438792e-08,0.9999941856215858,3.9738366031970117e-07,0.9999945830052461
-10145.083776366355,8.011551834531124e-08,0.999994439348586,1.4330716417197327e-07,0.9999945826557501
-10145.083770273523,8.01155183467433e-08,0.999994495511155,8.700876902713635e-08,0.9999945825199241
-10145.08376418069,8.011551834817534e-08,0.9999943539703982,2.2835509213340615e-07,0.9999945823254903
-10145.083758087858,8.01155183496074e-08,0.9999940155234102,5.662775891600514e-07,0.9999945818009993
-10145.083751995026,8.011551835103944e-08,0.9999934818982147,1.0987788982082666e-06,0.9999945806771129
-10145.083745902193,8.011551835247149e-08,0.999992755744304,1.8229435715101626e-06,0.9999945786878756
-10145.08373980936,8.011551835390353e-08,0.9999918406188308,2.7349531379830595e-06,0.9999945755719688
-10145.083733716529,8.011551835533559e-08,0.9999907409685223,3.830105419385012e-06,0.9999945710739416
-10145.083727132587,8.011551835688306e-08,0.9999893514010366,5.212972062344739e-06,0.999994564373099
-10145.083719811983,8.011551835860368e-08,0.9999875702237659,6.98409545643302e-06,0.9999945543192224
-10145.083713955499,8.011551835998017e-08,0.9999859742192517,8.569825582982919e-06,0.9999945440448347
-10145.083706634894,8.01155183617008e-08,0.9999837769525247,1.0751143450811555e-05,0.9999945280959756
-10145.08369931429,8.011551836342142e-08,0.9999813691437174,1.3139222270145014e-05,0.9999945083659876
-10145.083691098753,8.011551836535239e-08,0.9999784368162371,1.6044499372961274e-05,0.9999944813156101
-10145.083682286595,8.011551836742358e-08,0.9999750488560907,1.9397215254629114e-05,0.9999944460713454
-10145.083673474437,8.011551836949478e-08,0.9999714425738122,2.2961361704236897e-05,0.9999944039355164
-10145.08366466228,8.011551837156597e-08,0.9999676536464757,2.6700876282962755e-05,0.9999943545227586
-10145.083655850121,8.011551837363716e-08,0.9999637194872907,3.057803393359081e-05,0.9999942975212243
-10145.083647037964,8.011551837570836e-08,0.9999596788719808,3.455382353925287e-05,0.99999423269552
-10145.083638225806,8.011551837777954e-08,0.999955571552425,3.8588336457514116e-05,0.9999941598888825
-10145.083629413648,8.011551837985073e-08,0.9999514378614097,4.2641163161811556e-05,0.9999940790245715
-10145.08362060149,8.011551838192193e-08,0.9999473183124185,4.667179404973302e-05,0.9999939901064682
-10145.083611789332,8.011551838399312e-08,0.9999432531984309,5.064002044423521e-05,0.9999938932188751
-10145.083602977174,8.011551838606432e-08,0.999939282193701,5.450633181989495e-05,0.9999937885255209
-10145.083594165017,8.011551838813551e-08,0.9999354439624492,5.823230533152933e-05,0.9999936762677807
-10145.083585352859,8.01155183902067e-08,0.9999317757783253,6.178098380648369e-05,0.9999935567621318
-10145.083576540701,8.01155183922779e-08,0.9999283131583883,6.511723848366262e-05,0.9999934303968719
-10145.083567728543,8.011551839434909e-08,0.9999250895151923,6.820811294068832e-05,0.999993297628133
-10145.083558916385,8.011551839642029e-08,0.9999221358303877,7.102314484377444e-05,0.9999931589752314
-10145.083550104227,8.011551839849148e-08,0.9999194803530227,7.353466238102074e-05,0.9999930150154037
-10145.08354129207,8.011551840056267e-08,0.9999171483254808,7.571805249656047e-05,0.9999928663779774
-10145.083532479912,8.011551840263387e-08,0.9999151617397123,7.755199832773018e-05,0.99999271373804
-10145.083523667754,8.011551840470506e-08,0.9999135391261101,7.901868355730513e-05,0.9999925578096674
-10145.083514855596,8.011551840677626e-08,0.999912295377055,8.010396172473766e-05,0.9999923993387797
-10145.083506043438,8.011551840884745e-08,0.9999114416068046,8.079748889092403e-05,0.9999922390956955
-10145.08349827857,8.011551841067249e-08,0.9999110183662758,8.107868798594031e-05,0.9999920970542617
-10145.083487678554,8.011551841316389e-08,0.9999109425326274,8.096036860068965e-05,0.9999919029012281
-10145.083477078539,8.01155184156553e-08,0.9999114446573559,8.026506644424612e-05,0.9999917097238001
-10145.083466478523,8.011551841814671e-08,0.9999125154119329,7.900348070886355e-05,0.9999915188926418
-10145.083455878508,8.011551842063812e-08,0.9999141373542799,7.719438879340164e-05,0.9999913317430733
-10145.083445278493,8.011551842312952e-08,0.9999162851977351,7.486435831194886e-05,0.9999911495560471
-10145.083434678478,8.011551842562093e-08,0.9999189261916157,7.204734833020303e-05,0.9999909735399459
-10145.083424078462,8.011551842811234e-08,0.9999220206076642,6.878420580003268e-05,0.9999908048134643
